,Unnamed: 0,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,0,1,Johannesbourg,"39,39","13,36","26,95","31,06","34,74","95,97",Afrique du Sud
1,1,2,Pretoria,"36,66","12,11","24,92","28,54","31,77","94,54",Afrique du Sud
2,2,3,Le Cap,"36,10","20,00","28,40","29,36","34,51","76,61",Afrique du Sud
3,3,4,Durban,"35,96","11,75","24,39","27,28","34,10","78,46",Afrique du Sud
0,0,1,Munich,"71,44","40,73","56,76","60,65","66,77","103,72",Allemagne
1,1,2,Hambourg,"68,65","32,58","51,41","52,84","61,87","107,27",Allemagne
2,2,3,Frankfurt,"68,34","34,45","52,14","53,27","62,82","109,63",Allemagne
3,3,4,Berlin,"67,90","37,50","53,37","54,48","59,57","100,19",Allemagne
4,4,5,Düsseldorf,"66,40","30,53","49,25","56,11","60,52","108,91",Allemagne
5,5,6,Bonn,"65,18","30,16","48,44","47,95","67,29","80,05",Allemagne
6,6,7,Heidelberg,"64,59","28,83","47,50","48,32","63,75","111,31",Allemagne
7,7,8,Cologne,"64,45","26,87","46,49","51,32","57,87","90,28",Allemagne
8,8,9,Karlsruhe,"63,95","22,88","44,32","53,92","57,57","107,39",Allemagne
9,9,10,Fribourg-en-Brisgau,"63,73","29,77","47,50","52,66","58,37","98,48",Allemagne
10,10,11,Mannheim,"63,73","21,58","43,59","50,94","56,16","121,16",Allemagne
11,11,12,Dortmund,"63,45","19,86","42,62","52,76","53,82","105,42",Allemagne
12,12,13,Stuttgart,"62,50","29,24","46,60","49,64","60,36","123,86",Allemagne
13,13,14,Bremen,"62,01","19,41","41,65","53,52","56,05","96,23",Allemagne
14,14,15,Hanovre,"60,70","21,15","41,80","49,72","53,11","107,75",Allemagne
15,15,16,Leipzig,"59,40","18,57","39,89","46,86","51,30","95,61",Allemagne
16,16,17,Nuremberg,"59,11","20,90","40,85","46,99","52,31","121,38",Allemagne
17,17,18,Essen,"58,99","19,72","40,22","45,28","53,39","123,60",Allemagne
18,18,19,Aachen,"57,91","18,78","39,21","48,23","51,41","126,95",Allemagne
19,19,20,Dresde,"57,17","17,53","38,23","43,93","50,17","115,00",Allemagne
0,0,1,Al Khobar,"59,78","11,58","36,74","47,73","47,54","120,46",Arabie Saoudite
1,1,2,Riyad,"52,94","16,92","35,72","42,32","41,33","101,29",Arabie Saoudite
2,2,3,Jeddah (Jiddah),"51,82","13,31","33,41","41,89","40,91","87,20",Arabie Saoudite
3,3,4,Ad Dammam,"48,30","10,94","30,44","41,06","36,73","101,78",Arabie Saoudite
0,0,1,Canberra,"83,66","47,38","66,32","77,08","86,77","96,51",Australie
1,1,2,Brisbane,"80,99","41,01","61,88","75,47","72,54","102,83",Australie
2,2,3,Adélaïde,"80,53","38,55","60,47","77,64","73,07","91,18",Australie
3,3,4,Sydney,"80,20","52,49","66,95","72,09","73,59","112,18",Australie
4,4,5,Perth,"78,93","38,84","59,77","71,14","76,42","102,48",Australie
5,5,6,Melbourne,"76,81","38,05","58,29","74,20","75,59","112,64",Australie
6,6,7,Hobart,"68,72","22,75","46,75","62,48","69,46","128,94",Australie
7,7,8,Gold Coast,"66,95","37,53","52,89","63,48","60,55","120,20",Australie
0,0,1,Sarajevo,"37,72","7,42","23,24","31,49","26,86","54,40",Bosnie Herzégovine
1,1,2,Banja Luka,"35,60","7,05","21,96","30,28","24,71","43,97",Bosnie Herzégovine
2,2,3,Tuzla,"34,77","5,68","20,87","29,18","23,68","41,93",Bosnie Herzégovine
0,0,1,Sao Paulo,"40,85","14,87","28,43","34,69","34,52","26,53",Brésil
1,1,2,Rio de Janeiro,"37,83","11,30","25,15","30,18","29,67","23,58",Brésil
2,2,3,Brasilia,"37,39","11,00","24,78","30,17","30,58","42,16",Brésil
3,3,4,Campinas,"35,96","8,90","23,03","27,68","29,53","43,29",Brésil
4,4,5,Florianopolis,"35,95","10,41","23,74","29,35","30,34","29,04",Brésil
5,5,6,Sao Jose dos Campos,"34,28","8,18","21,80","28,81","26,97","34,45",Brésil
