,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
0,0,0,0,0,1,Johannesbourg,39.39,13.36,26.95,31.06,34.74,95.97,Afrique du Sud,-26.205,28.049722
1,1,1,1,1,2,Pretoria,36.66,12.11,24.92,28.54,31.77,94.54,Afrique du Sud,-25.7459277,28.1879101
2,2,2,2,2,3,Le Cap,36.1,20.0,28.4,29.36,34.51,76.61,Afrique du Sud,-33.928992,18.417396
3,3,3,3,3,4,Durban,35.96,11.75,24.39,27.28,34.1,78.46,Afrique du Sud,-29.861825,31.009909
4,4,4,0,0,1,Munich,71.44,40.73,56.76,60.65,66.77,103.72,Allemagne,48.1371079,11.5753822
5,5,5,1,1,2,Hambourg,68.65,32.58,51.41,52.84,61.87,107.27,Allemagne,53.550341,10.000654
6,6,6,2,2,3,Frankfurt,68.34,34.45,52.14,53.27,62.82,109.63,Allemagne,50.1106444,8.6820917
7,7,7,3,3,4,Berlin,67.9,37.5,53.37,54.48,59.57,100.19,Allemagne,52.5170365,13.3888599
8,8,8,4,4,5,Düsseldorf,66.4,30.53,49.25,56.11,60.52,108.91,Allemagne,51.2254018,6.7763137
9,9,9,5,5,6,Bonn,65.18,30.16,48.44,47.95,67.29,80.05,Allemagne,50.735851,7.10066
10,10,10,6,6,7,Heidelberg,64.59,28.83,47.5,48.32,63.75,111.31,Allemagne,49.4093582,8.694724
11,11,11,7,7,8,Cologne,64.45,26.87,46.49,51.32,57.87,90.28,Allemagne,50.938361,6.959974
12,12,12,8,8,9,Karlsruhe,63.95,22.88,44.32,53.92,57.57,107.39,Allemagne,49.0068705,8.4034195
13,13,13,9,9,10,Fribourg-en-Brisgau,63.73,29.77,47.5,52.66,58.37,98.48,Allemagne,47.9960901,7.8494005
14,14,14,10,10,11,Mannheim,63.73,21.58,43.59,50.94,56.16,121.16,Allemagne,49.4892913,8.4673098
15,15,15,11,11,12,Dortmund,63.45,19.86,42.62,52.76,53.82,105.42,Allemagne,51.5142273,7.4652789
16,16,16,12,12,13,Stuttgart,62.5,29.24,46.6,49.64,60.36,123.86,Allemagne,48.7784485,9.1800132
17,17,17,13,13,14,Bremen,62.01,19.41,41.65,53.52,56.05,96.23,Allemagne,53.0758196,8.8071646
18,18,18,14,14,15,Hanovre,60.7,21.15,41.8,49.72,53.11,107.75,Allemagne,52.3744779,9.7385532
19,19,19,15,15,16,Leipzig,59.4,18.57,39.89,46.86,51.3,95.61,Allemagne,51.3406321,12.3747329
20,20,20,16,16,17,Nuremberg,59.11,20.9,40.85,46.99,52.31,121.38,Allemagne,49.453872,11.077298
21,21,21,17,17,18,Essen,58.99,19.72,40.22,45.28,53.39,123.6,Allemagne,51.4582235,7.0158171
22,22,22,18,18,19,Aachen,57.91,18.78,39.21,48.23,51.41,126.95,Allemagne,50.776351,6.083862
23,23,23,19,19,20,Dresde,57.17,17.53,38.23,43.93,50.17,115.0,Allemagne,51.0493286,13.7381437
24,24,24,0,0,1,Al Khobar,59.78,11.58,36.74,47.73,47.54,120.46,Arabie Saoudite,26.3039999,50.1960237
25,25,25,1,1,2,Riyad,52.94,16.92,35.72,42.32,41.33,101.29,Arabie Saoudite,24.638916,46.7160104
26,26,26,2,2,3,Jeddah (Jiddah),51.82,13.31,33.41,41.89,40.91,87.2,Arabie Saoudite,21.5810088,39.1653612
27,27,27,3,3,4,Ad Dammam,48.3,10.94,30.44,41.06,36.73,101.78,Arabie Saoudite,26.4367824,50.1039991
28,28,28,0,0,1,Canberra,83.66,47.38,66.32,77.08,86.77,96.51,Australie,-35.2975906,149.1012676
29,29,29,1,1,2,Brisbane,80.99,41.01,61.88,75.47,72.54,102.83,Australie,-27.4689682,153.0234991
30,30,30,2,2,3,Adélaïde,80.53,38.55,60.47,77.64,73.07,91.18,Australie,-34.9281805,138.5999312
31,31,31,3,3,4,Sydney,80.2,52.49,66.95,72.09,73.59,112.18,Australie,-33.8698439,151.2082848
32,32,32,4,4,5,Perth,78.93,38.84,59.77,71.14,76.42,102.48,Australie,-31.9558964,115.8605801
33,33,33,5,5,6,Melbourne,76.81,38.05,58.29,74.2,75.59,112.64,Australie,-37.8142176,144.9631608
34,34,34,6,6,7,Hobart,68.72,22.75,46.75,62.48,69.46,128.94,Australie,-42.8825088,147.3281233
35,35,35,7,7,8,Gold Coast,66.95,37.53,52.89,63.48,60.55,120.2,Australie,-28.0023731,153.4145987
36,36,36,0,0,1,Sarajevo,37.72,7.42,23.24,31.49,26.86,54.4,Bosnie Herzégovine,43.8519774,18.3866868
37,37,37,1,1,2,Banja Luka,35.6,7.05,21.96,30.28,24.71,43.97,Bosnie Herzégovine,44.7720845,17.1917651
38,38,38,2,2,3,Tuzla,34.77,5.68,20.87,29.18,23.68,41.93,Bosnie Herzégovine,44.5391105,18.675193
39,39,39,0,0,1,Sao Paulo,40.85,14.87,28.43,34.69,34.52,26.53,Brésil,-23.5506507,-46.6333824
40,40,40,1,1,2,Rio de Janeiro,37.83,11.3,25.15,30.18,29.67,23.58,Brésil,-22.9110137,-43.2093727
41,41,41,2,2,3,Brasilia,37.39,11.0,24.78,30.17,30.58,42.16,Brésil,-15.7934036,-47.8823172
42,42,42,3,3,4,Campinas,35.96,8.9,23.03,27.68,29.53,43.29,Brésil,-22.90556,-47.06083
