,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Munich,"71,44","40,73","56,76","60,65","66,77","103,72",Allemagne
1,2,Hambourg,"68,65","32,58","51,41","52,84","61,87","107,27",Allemagne
2,3,Frankfurt,"68,34","34,45","52,14","53,27","62,82","109,63",Allemagne
3,4,Berlin,"67,90","37,50","53,37","54,48","59,57","100,19",Allemagne
4,5,Düsseldorf,"66,40","30,53","49,25","56,11","60,52","108,91",Allemagne
5,6,Bonn,"65,18","30,16","48,44","47,95","67,29","80,05",Allemagne
6,7,Heidelberg,"64,59","28,83","47,50","48,32","63,75","111,31",Allemagne
7,8,Cologne,"64,45","26,87","46,49","51,32","57,87","90,28",Allemagne
8,9,Karlsruhe,"63,95","22,88","44,32","53,92","57,57","107,39",Allemagne
9,10,Fribourg-en-Brisgau,"63,73","29,77","47,50","52,66","58,37","98,48",Allemagne
10,11,Mannheim,"63,73","21,58","43,59","50,94","56,16","121,16",Allemagne
11,12,Dortmund,"63,45","19,86","42,62","52,76","53,82","105,42",Allemagne
12,13,Stuttgart,"62,50","29,24","46,60","49,64","60,36","123,86",Allemagne
13,14,Bremen,"62,01","19,41","41,65","53,52","56,05","96,23",Allemagne
14,15,Hanovre,"60,70","21,15","41,80","49,72","53,11","107,75",Allemagne
15,16,Leipzig,"59,40","18,57","39,89","46,86","51,30","95,61",Allemagne
16,17,Nuremberg,"59,11","20,90","40,85","46,99","52,31","121,38",Allemagne
17,18,Essen,"58,99","19,72","40,22","45,28","53,39","123,60",Allemagne
18,19,Aachen,"57,91","18,78","39,21","48,23","51,41","126,95",Allemagne
19,20,Dresde,"57,17","17,53","38,23","43,93","50,17","115,00",Allemagne
