,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Sao Paulo,"40,85","14,87","28,43","34,69","34,52","26,53",Brésil
1,2,Rio de Janeiro,"37,83","11,30","25,15","30,18","29,67","23,58",Brésil
2,3,Brasilia,"37,39","11,00","24,78","30,17","30,58","42,16",Brésil
3,4,Campinas,"35,96","8,90","23,03","27,68","29,53","43,29",Brésil
4,5,Florianopolis,"35,95","10,41","23,74","29,35","30,34","29,04",Brésil
5,6,Sao Jose dos Campos,"34,28","8,18","21,80","28,81","26,97","34,45",Brésil
6,7,Belo Horizonte,"34,21","7,89","21,63","27,63","25,36","24,50",Brésil
7,8,Curitiba,"34,04","7,95","21,57","28,26","26,26","38,27",Brésil
8,9,Porto Alegre,"33,80","8,72","21,81","28,03","25,43","30,05",Brésil
9,10,Recife,"33,45","6,68","20,65","27,90","24,18","35,71",Brésil
10,11,Fortaleza,"31,85","5,65","19,33","27,67","24,28","20,56",Brésil
