,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Barcelona,"57,22","29,49","43,96","43,63","60,07","74,37",Espagne
1,2,Bilbao,"55,65","25,82","41,39","48,49","53,78","81,02",Espagne
2,3,Madrid,"53,27","28,98","41,66","41,96","53,04","86,84",Espagne
3,4,Palma de Majorque,"52,89","24,24","39,20","40,13","53,68","70,25",Espagne
4,5,Valence,"50,07","22,27","36,78","43,67","49,83","72,54",Espagne
5,6,Pampelune,"49,95","20,85","36,04","44,25","50,04","122,49",Espagne
6,7,Oviedo,"49,17","14,11","32,41","41,66","47,08","107,10",Espagne
7,8,Alicante,"48,93","18,45","34,36","38,45","50,38","72,53",Espagne
8,9,Séville (Séville),"48,68","17,20","33,64","42,93","43,15","80,20",Espagne
9,10,Grenade,"48,60","16,59","33,30","40,39","47,56","95,01",Espagne
10,11,Malaga,"48,06","21,60","35,42","37,93","45,67","87,05",Espagne
11,12,Las Palmas de Gran Canaria,"46,09","20,27","33,75","40,14","39,90","61,22",Espagne
12,13,Santa Cruz de Ténérife,"45,54","18,29","32,52","38,66","43,34","72,30",Espagne
13,14,Murcie,"45,39","23,59","34,97","34,31","46,15","65,16",Espagne
14,15,Zaragoza (Saragosse),"44,32","17,52","31,51","36,40","42,20","89,98",Espagne
15,16,Vigo,"43,41","16,03","30,33","34,77","43,51","77,47",Espagne
