,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,"Santa Barbara, Californie","110,95","92,44","102,10","116,39","115,45","72,30",États Unis
1,2,"Honolulu, Hawaii","101,43","61,61","82,40","110,44","81,22","84,48",États Unis
2,3,"New York, New York","100,00","100,00","100,00","100,00","100,00","100,00",États Unis
3,4,"San Francisco, Californie","98,45","91,90","95,32","97,42","97,44","105,87",États Unis
4,5,"Seattle, Washington","91,78","67,84","80,34","87,16","95,16","129,30",États Unis
5,6,"Oakland, Californie","89,53","74,84","82,51","89,82","81,25","90,32",États Unis
6,7,"Anchorage, Alaska","87,07","40,70","64,91","89,55","78,24","105,37",États Unis
7,8,"Boston, Massachusetts","84,07","75,27","79,87","81,20","88,05","112,83",États Unis
8,9,"Sacramento, Californie","83,76","52,23","68,69","87,35","72,57","116,49",États Unis
9,10,"Washington, District de Colombie","83,10","71,29","77,45","80,85","82,60","127,39",États Unis
10,11,"San Jose, Californie","82,68","73,47","78,28","77,65","82,10","141,18",États Unis
11,12,"San Diego, Californie","81,99","75,82","79,04","75,80","83,74","120,39",États Unis
12,13,"Nashville, Tennessee","81,17","59,23","70,68","83,51","72,96","112,48",États Unis
13,14,"Miami, Floride","81,16","71,55","76,56","78,78","88,72","91,58",États Unis
14,15,"Denver, Colorado","80,77","54,95","68,43","77,55","73,71","140,71",États Unis
15,16,"Irvine, Californie","80,64","72,32","76,66","73,86","89,04","133,83",États Unis
16,17,"Portland, Oregon","79,82","50,63","65,87","78,62","72,91","120,75",États Unis
17,18,"La Nouvelle-Orléans, Louisiane","79,60","44,83","62,98","77,66","79,39","97,53",États Unis
18,19,"Raleigh, Caroline du Nord","79,17","59,26","69,66","72,11","80,55","112,07",États Unis
19,20,"Philadelphie, Pennsylvanie","78,42","48,93","64,33","77,68","76,98","132,19",États Unis
20,21,"Chicago, Illinois","78,32","58,11","68,66","74,06","82,37","124,87",États Unis
21,22,"Los Angeles, Californie","78,07","74,25","76,24","74,02","86,91","118,37",États Unis
22,23,"Buffalo, New York","77,37","35,26","57,24","77,98","69,76","117,04",États Unis
23,24,"Pittsburgh, Pennsylvanie","76,94","38,03","58,34","82,85","63,47","120,84",États Unis
24,25,"Charlotte, Caroline du Nord","76,74","58,94","68,23","74,22","74,71","119,43",États Unis
