,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Gurgaon,"27,21","7,78","17,92","27,14","22,19","80,31",Inde
1,2,Noida,"26,23","4,95","16,06","25,04","23,18","76,44",Inde
2,3,Bombay,"25,67","16,88","21,47","25,08","22,74","46,95",Inde
3,4,Bangalore,"25,38","7,77","16,96","25,79","20,03","98,57",Inde
4,5,Hyderabad,"24,90","5,73","15,74","26,41","17,62","57,31",Inde
5,6,Delhi,"24,77","7,35","16,44","22,72","23,54","61,28",Inde
6,7,Navi Mumbai,"24,70","10,59","17,96","25,57","19,01","85,24",Inde
7,8,Ahmedabad,"23,91","11,41","17,94","24,68","17,48","39,62",Inde
8,9,Pune,"23,80","6,60","15,58","24,16","19,53","84,99",Inde
9,10,Patna,"23,63","4,72","14,59","24,58","16,46","38,44",Inde
10,11,Guwahati,"23,57","3,82","14,13","23,61","19,13","58,25",Inde
11,12,Chandigarh,"23,56","5,30","14,83","21,85","19,52","71,67",Inde
12,13,Chennai,"22,99","5,70","14,72","24,20","16,39","62,90",Inde
13,14,Lucknow (Lakhnau),"22,27","4,11","13,59","21,04","16,13","70,23",Inde
14,15,Bhubaneswar,"22,12","4,16","13,53","22,92","14,20","73,24",Inde
15,16,Vadodara,"22,05","3,08","12,98","21,49","18,71","45,71",Inde
16,17,Calcutta,"22,01","5,09","13,92","22,85","15,79","65,38",Inde
17,18,Jaipur,"21,81","4,92","13,74","21,76","14,77","54,56",Inde
18,19,Indore,"21,67","3,90","13,18","22,45","15,34","62,91",Inde
19,20,Kochi,"21,33","4,95","13,50","23,05","12,17","80,35",Inde
20,21,Coimbatore,"21,09","4,47","13,14","22,90","12,22","50,88",Inde
21,22,Thiruvananthapuram,"20,92","3,80","12,74","20,98","14,18","96,70",Inde
22,23,Bhopal,"20,66","2,57","12,01","20,83","15,14","62,23",Inde
