,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Milan,"71,72","38,81","55,99","58,16","79,82","56,61",Italie
1,2,Rome,"65,08","31,51","49,04","55,24","69,99","56,56",Italie
2,3,Florence,"65,06","24,99","45,91","57,80","64,16","55,74",Italie
3,4,Bologne,"64,52","24,01","45,16","52,10","67,80","65,45",Italie
4,5,Parme,"64,17","16,49","41,38","52,37","66,21","64,22",Italie
5,6,Genoa,"63,87","16,84","41,39","57,99","61,75","59,59",Italie
6,7,Bergame,"63,67","21,26","43,40","52,81","61,20","73,07",Italie
7,8,Trente,"63,67","21,37","43,45","55,30","62,36","67,80",Italie
8,9,Trieste,"63,30","17,57","41,44","52,66","65,18","65,38",Italie
9,10,Brescia,"62,64","22,86","43,63","54,16","61,71","60,23",Italie
10,11,Trévise,"62,08","22,19","43,02","50,15","65,19","63,06",Italie
11,12,Padoue,"61,37","19,47","41,35","48,48","60,91","64,04",Italie
12,13,Cagliari,"61,11","16,74","39,90","51,58","60,63","63,73",Italie
13,14,Bari,"60,39","19,08","40,64","50,28","54,94","65,20",Italie
14,15,Turin,"59,89","18,29","40,01","52,36","58,38","69,05",Italie
15,16,Vérone,"59,88","21,56","41,57","51,27","58,56","66,12",Italie
16,17,Naples,"56,08","17,50","37,64","44,71","56,56","68,35",Italie
17,18,Palerme,"54,71","13,47","35,00","44,35","48,26","64,74",Italie
18,19,Catane,"51,63","13,25","33,28","40,90","49,80","56,82",Italie
