,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Haarlem,"74,00","41,20","58,32","56,86","77,42","81,96",Pays-Bas
1,2,Utrecht,"72,54","36,07","55,11","58,16","72,79","100,77",Pays-Bas
2,3,Nimègue,"71,07","30,64","51,75","56,76","71,89","97,95",Pays-Bas
3,4,Amsterdam,"69,45","47,68","59,04","53,82","75,22","103,74",Pays-Bas
4,5,Breda,"69,45","32,23","51,66","56,64","73,37","137,08",Pays-Bas
5,6,Maastricht,"68,59","29,72","50,01","57,10","64,89","104,32",Pays-Bas
6,7,Groningen,"68,34","21,40","45,91","55,52","71,46","87,97",Pays-Bas
7,8,Eindhoven,"66,74","31,53","49,91","54,85","65,64","120,74",Pays-Bas
8,9,Rotterdam,"65,55","34,02","50,48","55,98","64,73","113,62",Pays-Bas
9,10,Delft,"63,77","27,94","46,64","55,63","55,00","113,77",Pays-Bas
10,11,Enschede,"62,54","25,41","44,79","55,29","64,72","128,66",Pays-Bas
11,12,La Haye (Den Haag),"61,11","30,43","46,45","50,74","61,49","131,32",Pays-Bas
