,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Varsovie,"42,82","23,57","33,62","33,69","41,12","63,71",Pologne
1,2,Wroclaw,"40,04","16,93","29,00","30,63","36,44","60,40",Pologne
2,3,Cracovie (Cracovie),"39,99","16,72","28,87","31,21","36,93","69,99",Pologne
3,4,Gdynia,"39,38","15,78","28,10","30,07","37,16","57,57",Pologne
4,5,Gdansk,"38,64","17,17","28,38","30,43","33,69","67,70",Pologne
5,6,Katowice,"38,38","11,64","25,60","30,22","32,92","68,82",Pologne
6,7,Bialystok,"37,51","12,16","25,39","30,10","30,48","56,33",Pologne
7,8,Szczecin,"37,18","13,84","26,03","30,93","33,01","62,66",Pologne
8,9,Poznan,"36,70","13,84","25,78","29,72","33,54","63,80",Pologne
9,10,Lodz (Łódź),"35,91","12,63","24,78","27,45","30,98","63,12",Pologne
10,11,Lublin,"34,40","12,04","23,71","27,91","28,79","61,74",Pologne
