,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Londres,"73,21","63,82","68,72","52,10","77,05","87,83",Royaume-Uni
1,2,Cambridge,"68,02","42,43","55,79","54,77","70,81","98,74",Royaume-Uni
2,3,Guildford,"67,63","45,63","57,11","56,61","69,17","111,59",Royaume-Uni
3,4,Brighton,"65,50","42,46","54,49","51,51","70,37","83,17",Royaume-Uni
4,5,Reading,"64,51","34,27","50,06","50,36","82,87","91,99",Royaume-Uni
5,6,Bristol,"64,05","34,93","50,13","48,26","71,27","96,04",Royaume-Uni
6,7,Oxford,"63,90","42,25","53,55","52,97","61,41","102,57",Royaume-Uni
7,8,Manchester,"62,36","30,28","47,03","48,31","70,45","97,90",Royaume-Uni
8,9,Liverpool,"62,03","24,92","44,29","47,12","71,29","87,44",Royaume-Uni
9,10,Bournemouth,"61,86","30,93","47,08","47,45","78,64","80,92",Royaume-Uni
10,11,Glasgow,"61,70","26,32","44,79","46,72","69,23","109,60",Royaume-Uni
11,12,Nottingham,"61,00","24,55","43,58","53,83","59,75","91,90",Royaume-Uni
12,13,Plymouth,"60,90","23,90","43,21","45,52","62,57","70,30",Royaume-Uni
13,14,Leeds,"60,48","26,88","44,42","47,46","60,05","102,46",Royaume-Uni
14,15,Belfast,"60,26","24,73","43,28","48,51","70,99","90,80",Royaume-Uni
15,16,Derby,"59,90","20,26","40,95","47,22","64,11","96,24",Royaume-Uni
16,17,Édimbourg,"59,79","32,61","46,80","45,67","70,28","97,36",Royaume-Uni
17,18,Newcastle upon Tyne,"59,53","27,55","44,24","47,96","67,50","89,64",Royaume-Uni
18,19,Norwich,"59,37","28,49","44,61","45,01","74,53","87,37",Royaume-Uni
19,20,Southampton,"59,16","27,37","43,96","45,28","60,68","101,42",Royaume-Uni
20,21,Exeter,"58,30","27,93","43,79","43,88","62,46","90,20",Royaume-Uni
21,22,Sheffield,"58,29","25,14","42,45","45,12","57,85","87,89",Royaume-Uni
22,23,Portsmouth,"57,67","27,75","43,37","49,59","59,74","117,91",Royaume-Uni
23,24,Cardiff,"57,62","30,03","44,44","45,27","67,42","83,51",Royaume-Uni
24,25,Coventry,"57,33","22,61","40,74","43,71","50,70","141,70",Royaume-Uni
25,26,Birmingham,"57,18","29,34","43,87","45,05","56,97","110,90",Royaume-Uni
26,27,Aberdeen,"57,14","20,72","39,73","45,01","65,65","114,45",Royaume-Uni
27,28,Dundee,"56,57","21,75","39,93","46,21","60,15","95,87",Royaume-Uni
28,29,Preston,"55,91","24,18","40,75","47,66","50,82","132,54",Royaume-Uni
29,30,Leicester,"55,56","23,30","40,14","42,15","63,87","108,26",Royaume-Uni
