,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Vladivostok,"47,84","17,96","33,56","41,74","35,33","35,36",Russie
1,2,Moscou,"45,03","25,36","35,63","34,61","49,15","59,99",Russie
2,3,Saint-Pétersbourg,"43,73","16,56","30,74","33,96","40,97","47,10",Russie
3,4,Iekaterinbourg,"41,04","10,92","26,64","35,33","34,98","60,09",Russie
4,5,Novossibirsk,"40,12","11,01","26,20","33,33","38,04","36,65",Russie
5,6,Kazan,"39,02","10,76","25,52","32,83","33,25","37,63",Russie
6,7,Krasnodar,"38,92","8,45","24,36","29,83","45,53","38,37",Russie
7,8,Kaliningrad,"37,77","9,28","24,15","32,80","34,78","37,98",Russie
8,9,Voronej,"37,75","7,37","23,23","30,61","40,41","42,41",Russie
9,10,Samara,"37,34","9,45","24,01","29,12","38,80","38,54",Russie
10,11,Nijni Novgorod,"37,05","9,94","24,09","30,42","34,46","41,98",Russie
11,12,Perm,"36,33","8,18","22,88","31,65","35,65","38,79",Russie
12,13,Oufa,"36,09","9,57","23,41","30,33","32,01","40,98",Russie
13,14,Rostov-sur-le-Don,"35,74","11,50","24,16","30,82","33,26","36,37",Russie
