,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Bursa,"35,59","5,62","21,27","24,36","30,32","26,55",Turquie
1,2,Istanbul,"34,37","15,90","25,54","27,59","27,57","29,57",Turquie
2,3,Antalya,"28,89","14,39","21,96","22,29","21,91","24,87",Turquie
3,4,Izmir,"28,70","6,94","18,30","24,15","19,77","29,79",Turquie
4,5,Ankara,"28,50","7,27","18,35","23,76","20,53","35,22",Turquie
5,6,Mersin,"27,85","5,62","17,22","20,36","18,07","28,07",Turquie
6,7,Eskisehir,"27,14","4,61","16,37","22,38","16,15","31,23",Turquie
7,8,Kocaeli,"26,87","5,61","16,71","22,03","15,82","40,34",Turquie
8,9,Konya,"24,06","3,41","14,19","19,01","15,38","35,34",Turquie
9,10,Adana,"23,99","3,69","14,29","18,76","16,07","38,23",Turquie
